7,7,3,1,5,1,3,19,0,9,7,1,5,6,3,7,8,2,1,2,10,14,3,8,5,2,3,13,7,23,10,5,6,7,2,13,3,6,3,2,5,5,5,8,7,0,1,2,11,2,3,7,4,8,24,11,7,3,6,6,5,7,10,8,15,2,5,7,6,3,10,2,2,3,2,4,11,9,4,3,2,1,3,11,5,5,2,4,2,3,21,3,7,11,15,6,5,2,5,5,6,6,7,15,2,18,19,7,4,5,2,3,10,8,1,3,5,15,7,4,6,11,5,9,5,10,12,13,11,6,9,10,14,4,4,6,6,5,8,2,7,2,8,5,12,5,4,2,4,5
5,6,2,0,4,3,4,16,0,12,9,1,3,5,3,6,6,2,0,3,9,11,3,8,6,2,4,8,7,24,8,8,6,7,3,13,5,5,3,0,8,4,4,7,7,1,2,1,12,2,4,8,4,5,20,12,10,3,4,7,7,4,8,10,14,2,6,5,7,5,13,2,1,3,1,5,9,13,2,3,3,2,3,9,11,7,2,3,2,2,23,5,6,8,17,9,5,2,6,4,5,5,9,13,3,22,17,6,4,9,2,3,9,5,1,6,3,16,7,6,7,10,5,7,7,11,13,14,12,7,8,8,11,4,3,7,7,6,7,3,8,1,5,5,15,4,2,1,5,6
6,5,3,1,3,4,5,13,0,11,8,1,3,5,2,7,5,3,1,1,10,10,3,10,6,0,5,10,9,19,5,7,5,4,3,12,4,7,3,4,7,4,6,7,7,1,1,2,11,0,3,6,4,7,19,9,6,3,3,5,3,6,8,10,12,2,4,6,4,3,13,1,1,2,2,6,10,7,4,2,3,2,4,12,8,9,1,3,1,3,21,3,6,6,17,7,7,3,4,3,6,6,9,17,2,22,20,6,6,5,2,2,9,3,0,6,4,18,5,9,6,10,6,9,5,13,12,15,9,5,7,12,10,3,4,8,6,4,7,2,6,1,5,5,14,4,3,2,5,5
7,6,2,1,4,2,3,11,1,13,7,2,3,3,2,6,5,2,2,2,11,13,4,13,5,1,4,10,9,25,9,6,4,6,4,15,3,6,5,2,6,4,2,7,8,2,1,2,10,1,5,7,4,6,19,14,6,3,4,4,7,6,9,6,11,3,3,6,3,4,12,2,2,1,3,3,12,7,2,2,4,2,3,11,11,9,2,2,1,4,31,5,5,8,23,8,6,5,6,2,7,6,7,20,3,24,20,4,6,6,2,2,9,6,0,5,5,17,4,8,7,11,3,10,3,11,14,12,10,9,11,7,16,2,4,7,4,5,9,2,9,0,6,6,15,4,4,1,6,6
6,6,3,2,5,3,3,13,1,9,13,1,4,6,1,8,6,3,1,1,15,13,4,11,6,1,3,9,10,29,7,5,5,9,2,12,4,7,4,3,8,6,4,6,7,1,1,2,14,1,5,9,4,6,22,15,7,2,5,4,7,7,12,7,12,3,8,7,5,6,12,3,2,3,3,3,14,7,3,3,2,4,3,15,8,7,2,5,3,3,35,4,7,8,22,11,2,3,7,3,5,6,9,20,2,23,22,6,4,12,1,2,7,7,1,4,5,23,7,7,7,14,3,10,5,12,15,15,13,9,9,10,16,4,3,8,4,3,8,4,9,1,7,5,11,5,4,3,7,6
6,5,6,2,5,2,4,18,1,9,10,1,3,4,2,8,5,2,3,4,14,11,4,14,7,2,5,10,12,34,4,8,3,10,2,9,3,6,4,4,8,3,5,7,7,0,1,3,16,1,2,8,6,7,23,16,6,5,4,6,7,6,8,10,18,2,6,6,5,5,11,1,2,3,3,7,15,9,3,4,4,5,3,14,10,7,1,4,1,4,21,4,4,9,19,12,2,4,9,4,5,9,10,21,4,29,22,6,4,8,1,3,10,11,1,6,8,24,6,7,7,13,4,12,4,13,16,20,15,10,7,10,14,5,3,12,6,5,9,5,12,3,5,8,11,7,4,2,8,9
6,3,3,1,6,2,5,15,1,6,9,1,3,3,1,6,2,4,3,3,13,13,3,15,9,1,4,10,10,28,6,5,4,8,2,11,3,6,3,2,10,7,6,7,5,1,1,3,12,2,4,10,5,7,23,14,8,1,3,9,9,6,8,11,12,5,9,2,8,7,12,2,2,3,3,7,15,13,7,4,3,3,5,12,9,7,1,3,2,5,18,5,3,12,18,10,3,5,6,4,4,8,9,19,4,31,23,7,3,7,2,4,11,10,3,6,6,22,9,8,6,10,3,10,6,11,17,16,17,11,9,12,23,2,3,8,8,2,9,6,11,2,2,7,7,6,5,4,10,7
5,2,2,1,9,3,3,16,0,5,9,1,3,5,1,5,1,2,1,1,11,11,3,10,5,1,4,11,9,24,4,6,4,6,3,9,2,6,4,2,8,6,5,6,7,0,3,3,12,3,5,7,4,8,19,11,7,4,2,7,5,6,9,9,12,2,6,5,7,6,12,1,4,3,2,6,9,8,3,3,3,4,3,8,11,4,2,3,2,3,8,4,5,8,16,10,2,4,5,4,6,7,8,14,4,24,20,7,5,9,2,5,12,13,2,5,4,23,5,9,7,10,3,8,6,10,20,14,19,9,10,10,15,6,3,8,7,4,6,4,8,2,4,6,7,4,5,3,6,11
6,2,3,1,5,2,4,11,0,7,6,1,3,4,1,9,2,3,1,2,11,10,3,10,8,0,2,10,9,22,4,4,6,5,2,11,2,5,4,2,10,6,4,6,5,0,5,3,11,5,4,7,3,4,19,11,6,4,3,6,3,6,9,9,11,2,6,3,6,7,13,3,3,4,2,5,12,8,4,2,4,4,6,9,9,6,3,4,1,4,7,4,4,7,15,11,2,4,6,3,5,7,8,13,4,24,18,6,5,8,2,2,10,12,1,5,4,20,4,9,5,10,5,11,6,11,16,14,20,10,8,13,13,5,4,8,7,4,6,4,7,2,3,5,7,8,7,2,8,9
6,4,4,2,6,3,5,8,1,5,5,1,4,6,2,7,2,4,1,2,8,9,3,6,7,1,3,8,6,26,3,5,4,6,3,7,2,5,4,1,7,6,5,8,2,1,4,2,9,4,4,8,3,4,20,11,6,3,4,4,3,5,10,4,9,1,5,4,7,9,13,3,3,2,2,5,13,6,5,4,4,5,5,8,7,5,2,5,1,3,6,4,5,9,15,7,2,3,5,4,5,8,7,11,6,18,15,5,4,6,2,2,9,15,1,7,4,17,7,9,4,12,6,13,3,7,16,14,19,7,6,9,7,3,3,7,7,6,5,4,7,2,4,7,6,6,5,1,7,5
